"Gender","Behavior1","Behavior2","Behavior3","Attitude1","Attitude2","Attitude3","Subjective1","Subjective2","Subjective3","Intention1","Intention2","Intention3"
"Female","4","5","4","5","5","5","3","5","5","4","4","4"
"Male","3","3","1","1","1","1","1","1","1","1","1","1"
"Male","1","1","1","2","2","2","1","1","3","1","1","2"
"Female","4","5","5","4","5","5","4","5","4","4","5","5"
"Female","2","2","1","2","3","1","1","2","2","1","1","2"
"Female","2","3","2","4","2","2","1","2","1","1","1","1"
"Male","5","4","4","4","4","4","4","5","3","5","3","4"
"Male","3","3","4","5","3","4","1","1","1","2","3","4"
"Male","4","4","3","4","3","4","4","3","3","3","3","3"
"Male","2","2","2","2","2","2","2","2","3","3","3","3"
"Female","3","4","3","3","3","3","3","3","3","3","3","3"
"Female","3","3","3","3","3","3","3","3","3","3","3","3"
"Male","4","4","5","5","5","5","5","3","4","3","4","4"
"Female","1","1","1","1","3","3","3","3","3","3","3","3"
"Male","3","3","3","3","2","2","2","3","4","2","3","3"
"Male","4","4","4","4","4","3","4","3","4","4","4","4"
"Male","4","4","4","4","5","5","4","5","4","4","4","4"
"Male","2","2","1","1","2","2","1","1","1","1","2","2"
"Female","2","3","1","3","2","3","3","2","3","2","1","2"
"Female","3","3","3","3","3","3","3","3","3","3","3","3"
"Male","2","1","2","1","1","1","1","1","2","1","1","1"
"Female","5","5","4","5","5","5","4","4","5","4","5","5"
"Male","4","4","5","5","5","4","5","4","5","4","5","4"
"Female","2","3","2","2","1","4","4","2","1","1","1","2"
